Year,Entity,Pred_Prevalence_Schizophrenia,Pred_Prevalence_Depression,Pred_Prevalence_Anxiety,Pred_Prevalence_Bipolar,Pred_Prevalence_Eating
2034-01-01,Andorra,0.2849366718781058,3.716684220958897,5.453953811030776,0.9346525826015092,0.5332615623374704
2035-01-01,Andorra,0.2849327425567907,3.7169702241183873,5.453954861460063,0.934652397614683,0.5333207887181829
2036-01-01,Andorra,0.2849298687598469,3.717180248246446,5.453955614394376,0.9346522702699179,0.5333665018165178
2037-01-01,Andorra,0.2849277669442375,3.7173344777816912,5.453956154088087,0.934652182605896,0.5334017848666422
2038-01-01,Andorra,0.28492622973442683,3.717447735004858,5.453956540933654,0.9346521222580619,0.5334290176220544
2039-01-01,Andorra,0.2849251054616831,3.717530904539014,5.4539568182196225,0.9346520807146671,0.5334500368640055
2040-01-01,Andorra,0.28492428319969026,3.7175919794198764,5.453957016974667,0.9346520521162314,0.533466260287802
2020-01-01,Angola,0.21965866665788206,5.734873219573349,3.9112991713880976,0.5538993274479939,0.13736502526358169
2021-01-01,Angola,0.21951186419882388,5.726443546976105,3.889011639480108,0.5538991627826775,0.13794250057732008
2022-01-01,Angola,0.21938475988040507,5.718819461172318,3.8672214527344675,0.5538990056435805,0.13849003338413987
2023-01-01,Angola,0.2192747105810653,5.711923975769657,3.845917512918697,0.5538988556867084,0.13900917622438216
2024-01-01,Angola,0.2191794278366563,5.705687461627241,3.82508896945682,0.5538987125837891,0.139501401138064
2025-01-01,Angola,0.21909693025205948,5.700046943755424,3.8047252139029237,0.5538985760215548,0.13996810383887753
2026-01-01,Angola,0.2190255022982728,5.694945465407786,3.784815874538034,0.5538984457010558,0.14041060767176444
2027-01-01,Angola,0.21896365863815737,5.690331512944048,3.7653508110875693,0.5538983213370066,0.14083016736528728
2028-01-01,Angola,0.21891011323900036,5.6861584956563265,3.7463201095566694,0.5538982026571605,0.14122797258943767
2029-01-01,Angola,0.21886375262959384,5.682384275306099,3.727714077180774,0.5538980894017146,0.1416051513289696
2030-01-01,Angola,0.21882361274571246,5.678970740621259,3.709523237488881,0.5538979813227403,0.14196277308182292
2031-01-01,Angola,0.2187888588824946,5.675883422456621,3.691738325476966,0.5538978781836409,0.14230185189170658
2032-01-01,Angola,0.21875876833683847,5.673091145731841,3.674350282889106,0.5538977797586337,0.14262334922343983
2033-01-01,Angola,0.21873271537886343,5.67056571463211,3.6573502536039078,0.5538976858322557,0.14292817668920527
2034-01-01,Angola,0.21871015823992002,5.668281627892822,3.6407295791238847,0.5538975961988919,0.14321719863344362
2035-01-01,Angola,0.21869062784656507,5.666215821293249,3.62447979416549,0.553897510662325,0.1434912345837198
2036-01-01,Angola,0.2186737180662265,5.664347434758958,3.6085926223475555,0.553897429035306,0.14375106157450995
2037-01-01,Angola,0.2186590772617173,5.662657601721228,3.5930599719759475,0.5538973511391447,0.1439974163504984
2038-01-01,Angola,0.21864640097897525,5.661129258606461,3.577873931922282,0.5538972768033179,0.14423099745563203
2039-01-01,Angola,0.2186354256159715,5.659746972531861,3.5630267675946103,0.5538972058650963,0.1444524672138559
2040-01-01,Angola,0.2186259229411325,5.65849678546747,3.548510916998018,0.5538971381691884,0.14466245360714605
2020-01-01,Antigua and Barbuda,0.28858967181402795,3.113868069988051,4.336668055503744,0.9437426094203532,0.2714903340992979
2021-01-01,Antigua and Barbuda,0.28857355538413976,3.1917536028910733,4.3388712092187305,0.9435104996547969,0.27191101772095927
2022-01-01,Antigua and Barbuda,0.2885700045194274,3.2629622563207996,4.340816377466131,0.9432833043966113,0.2722386854979011
2023-01-01,Antigua and Barbuda,0.28856922217245023,3.3280664179574484,4.342533769895426,0.9430609195899302,0.2724939038294872
2024-01-01,Antigua and Barbuda,0.28856904980125553,3.387589406502566,4.344050058658697,0.9428432433820836,0.27269269175238126
2025-01-01,Antigua and Barbuda,0.2885690118234405,3.4420096782067913,4.345388792645409,0.9426301760769485,0.272847526391582
2026-01-01,Antigua and Barbuda,0.28856900345594944,3.491764672785346,4.346570763211036,0.9424216200892888,0.2729681260997906
2027-01-01,Antigua and Barbuda,0.2885690016123756,3.537254329635402,4.347614327079495,0.9422174799000599,0.27306206043964554
2028-01-01,Antigua and Barbuda,0.2885690012061888,3.578844302619295,4.348535691434261,0.9420176620126618,0.273135225294976
2029-01-01,Antigua and Barbuda,0.28856900111669537,3.616868899254581,4.349349165625819,0.9418220749101169,0.27319221293191265
2030-01-01,Antigua and Barbuda,0.28856900109697764,3.651633767936659,4.350067383404603,0.9416306290131554,0.2732366002371147
2031-01-01,Antigua and Barbuda,0.28856900109263334,3.683418354794329,4.3507014991308495,0.9414432366391874,0.27327117322467853
2032-01-01,Antigua and Barbuda,0.28856900109167616,3.7124781499269246,4.3512613610086115,0.9412598119621444,0.2732981019031294
2033-01-01,Antigua and Barbuda,0.28856900109146527,3.739046741078665,4.35175566403438,0.9410802709731708,0.27331907647820114
2034-01-01,Antigua and Barbuda,0.2885690010914188,3.763337691258027,4.352192085035684,0.9409045314421477,0.273335413440308
2035-01-01,Antigua and Barbuda,0.2885690010914086,3.785546255394767,4.352577401896899,0.940732512880031,0.27334813819539683
2036-01-01,Antigua and Barbuda,0.2885690010914063,3.8058509498333875,4.352917598823934,0.9405641365019878,0.2733580494255884
2037-01-01,Antigua and Barbuda,0.2885690010914058,3.82441498727891,4.353217959282594,0.9403993251913124,0.27336576921926803
2038-01-01,Antigua and Barbuda,0.2885690010914057,3.841387588729306,4.353483148054028,0.9402380034641069,0.27337178211709245
2039-01-01,Antigua and Barbuda,0.2885690010914057,3.8569051829401197,4.353717283681631,0.9400800974347092,0.27337646552467393
2040-01-01,Antigua and Barbuda,0.2885690010914057,3.8710925030628034,4.353924002434525,0.9399255347818536,0.27338011340082535
2020-01-01,Argentina,0.3110735488931081,2.3983879509654034,4.9860476713174435,1.0394381198880234,0.33133164023874057
2021-01-01,Argentina,0.310802909128345,2.3910546170433555,4.988461381437353,1.039742299975462,0.3305678967629054
2022-01-01,Argentina,0.31064667161350323,2.3851591252183657,4.990356216995841,1.0400096221629342,0.32989659876407135
2023-01-01,Argentina,0.3105564773249244,2.380419558709056,4.991843720306241,1.0402445525704989,0.3293065564036495
2024-01-01,Argentina,0.31050440910238214,2.376609275977266,4.993011455463278,1.040451016152592,0.32878793428992814
